Rank,Model,Test_R2,Test_RMSE,Test_MAE,Train_R2,Train_RMSE,Train_MAE,Overfitting
1,Stacking Ensemble,0.9164563579379565,25314.16574079329,14669.818958390897,0.9885940996495246,8248.094765886979,5770.924147956645,0.07213774171156806
2,Lasso Regression,0.912113795192999,25963.741255476947,16295.07045138036,0.8922956960162077,25345.763891219485,14140.875275295317,-0.019818099176791226
3,XGBoost,0.9112591525432183,26089.677037015008,15320.327228702918,0.9825180184838486,10211.374025629548,6974.952074860876,0.07125886594063024
4,ElasticNet,0.9086000753348037,26477.674321858118,15925.478868633403,0.8577443117618733,29128.872606148572,15099.428344327664,-0.050855763572930424
5,CatBoost,0.9021691455702042,27393.330695707158,15037.564982071997,0.9788012547041012,11244.598005500737,7888.926692582944,0.07663210913389695
6,LightGBM,0.8965428741235123,28170.01781914029,15545.558955566124,0.9689059626370943,13618.441627496048,8170.1088153501205,0.07236308851358197
7,Gradient Boosting,0.8929789464607768,28651.115016394746,15758.244310185788,0.9767611840401593,11773.236112415492,8397.179043993916,0.08378223757938252
8,Ridge Regression,0.8917263740751596,28818.29333042606,16703.761531850163,0.8639517565638023,28486.252860888566,15021.59112742868,-0.027774617511357347
9,Random Forest,0.849802324789433,33942.08544603871,18276.047879094203,0.9511608779543155,17067.61271957052,8998.382755996796,0.10135855316488251
